#{"t_start": 1779807544.0049567, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-180.232825,121,0.097089
-165.420787,83,0.150829
-425.618406,78,0.200463
-151.940639,100,0.258795
-468.042849,147,0.427724
-383.649343,146,0.507421
-90.984788,90,0.583
-384.607265,88,0.701448
-53.791093,103,0.785852
-126.436965,128,0.874001
-126.040224,88,0.93073
-290.629259,97,0.978971
-328.500621,81,1.017713
-290.66058,87,1.056329
-66.730929,112,1.114409
-294.693195,102,1.201627
-63.748217,88,1.293408
-486.265065,160,1.440827
-65.546799,142,1.541819
-84.172196,78,2.789537
-162.238405,104,2.87995
-156.571427,593,3.339573
-60.65305,187,3.490715
-131.045057,80,3.530238
-142.50974,96,3.606263
-227.818725,122,3.690961
-335.761931,95,3.751045
-95.456582,70,3.807125
-245.431489,113,3.890933
-332.352873,122,4.046371
-112.257486,158,4.192916
-128.153207,129,4.299789
-203.819002,98,4.357532
-98.242667,74,5.599326
-247.298393,163,5.691652
-29.794021,89,5.744465
-178.849758,107,5.822463
-212.891187,124,5.897291
-281.051161,105,5.989182
-301.206033,108,6.048259
-558.229694,107,6.132919
-8.832576,115,6.189473
-132.542919,146,6.260791
-283.65955,91,6.329886
-69.410434,100,6.411807
-142.753339,181,6.525732
-21.01146,131,6.594211
-478.486098,127,6.697874
-68.595437,72,6.766301
-41.50067,83,6.813784
-132.797893,113,6.906345
-116.706786,131,8.261914
-290.06967,126,8.340395
-420.552374,110,8.452489
-253.261573,91,8.545243
-147.006927,140,8.642892
-230.58285,193,8.743946
-195.645414,95,8.788702
-226.243883,99,8.835616
-126.225293,135,8.94681
-270.749066,98,9.015945
-115.011421,69,9.080717
-381.359474,133,9.15033
-143.080007,114,9.219627
-333.352113,92,9.290535
-69.983149,85,9.335155
-7.047495,85,9.383213
-109.039993,93,9.444917
-100.961337,155,9.539068
-258.537756,88,10.81925
-219.885042,100,10.873472
-118.467213,188,11.013546
-282.366505,138,11.100919
-329.47036,124,11.172139
-112.352415,100,11.229757
-137.265509,113,11.294183
-223.806624,83,11.346429
-144.190401,144,11.46224
-281.891481,118,11.536894
-267.646129,133,11.625973
-179.681207,170,11.708941
-152.629487,70,11.758033
-86.415861,90,11.796601
17.913866,102,11.856696
-71.577085,157,11.953624
-106.77335,94,12.031828
-168.712462,118,13.364796
-31.101855,88,13.407335
-172.502599,131,13.47815
-287.877716,135,13.540255
-170.608403,133,13.617327
-328.968337,110,13.711006
-70.885076,83,13.803938
-258.952616,240,13.971628
-161.538093,130,14.037175
-60.160001,119,14.112369
-44.34159,98,14.189044
-210.727186,146,14.295356
-76.87664,76,14.357664
-82.810442,147,14.470601
-31.688518,109,14.586345
-65.764186,203,14.777045
-48.242532,143,16.07812
-56.783383,91,16.119177
-357.695098,797,16.610276
-197.079774,133,16.696778
-268.772295,156,16.820356
-49.075211,91,16.864934
-120.741496,98,16.955558
-18.078435,110,17.043882
-70.760833,174,17.125146
-18.935803,1000,19.314425
-260.477784,102,19.39224
-61.355749,106,19.450297
-165.880602,131,19.540061
-261.807889,212,19.65183
-109.842754,89,19.716396
-125.754205,117,19.817407
-55.430163,118,19.872932
-108.763616,118,19.937542
-193.640355,150,20.026085
-173.636781,83,20.092994
-18.996071,136,21.403668
-52.966214,154,21.501952
-223.285933,202,21.652253
-229.558407,148,21.737081
-13.733741,105,21.822655
-195.859581,250,21.964397
-82.664656,132,22.049239
-88.607075,210,22.202671
-107.886886,213,22.32226
-68.653184,133,22.414025
-121.961151,103,22.501935
-33.410094,120,22.56038
-53.642723,122,22.654819
-115.666008,327,24.32619
-92.447792,417,24.739193
-478.712318,234,24.893231
-93.208082,192,25.026079
-21.547631,91,25.089135
-42.781244,121,25.203262
1.462819,123,25.298156
-123.325278,175,25.429047
-126.624633,185,25.571185
-261.367272,224,25.783598
-30.441424,157,27.094637
-25.37264,114,27.165492
-149.860624,205,27.298517
-22.201224,124,27.380664
-55.338605,95,27.447654
4.284093,94,27.561847
-11.09395,196,27.728816
2.398302,152,27.823646
-38.605737,147,27.922973
-186.97878,194,28.041398
-19.066757,179,28.132226
-71.563654,101,28.178347
-47.250672,151,28.259383
-56.343656,156,28.342868
2.094309,125,29.602992
-120.335797,168,29.736905
10.898921,141,29.841806
-115.709002,128,29.928258
-8.735818,244,30.084537
-28.389809,138,30.195055
-179.092039,290,30.409159
-70.459149,148,30.536212
-192.763229,152,30.630403
0.613918,145,30.698597
-9.398327,149,30.798337
-15.614826,157,30.892592
-59.387473,168,32.536351
16.85792,109,32.608703
-36.74857,206,32.832828
-116.669544,147,32.972292
-81.626023,269,33.17986
3.149234,230,33.350741
-21.225423,217,33.525389
-12.836043,135,33.612286
-4.183915,182,33.740033
45.712876,1000,35.880378
-8.953868,126,35.99063
-50.856834,166,36.11944
8.765896,135,36.261758
7.887686,137,36.335626
-36.653878,96,36.396203
12.916255,1000,38.563938
-59.252998,157,38.74458
17.306807,127,38.891057
-30.707608,112,38.992143
32.988013,131,39.072019
19.708627,115,39.16274
38.212212,1000,40.119722
-159.058531,357,41.945327
0.415071,173,42.079796
-47.821667,185,42.20672
-415.579565,205,42.359392
-65.682776,176,42.444188
5.941304,179,42.562585
-27.982011,170,42.658272
-2.615104,184,42.775507
34.793192,1000,44.805248
-130.084738,187,44.977405
-172.642579,190,45.093407
17.241754,1000,45.762596
-122.222009,247,45.946831
-110.240047,220,47.536767
-65.529701,209,47.663951
11.17157,1000,48.402812
-30.631368,180,48.48394
-88.017117,232,48.645068
-133.304953,269,48.862217
-11.933448,136,50.229225
-10.895163,1000,51.139691
-20.628822,1000,51.870285
7.797285,313,53.22367
-74.990915,259,53.448973
-108.646734,328,53.652311
-173.86806,258,53.767598
-160.057468,325,54.014188
32.380208,1000,56.157648
-164.48998,305,56.368642
-100.278317,158,56.470269
2.702841,1000,57.296314
31.693385,1000,59.496725
-203.26694,260,59.679533
-73.675929,252,59.876979
56.831989,1000,61.789165
-175.132549,277,61.984273
-65.893826,256,62.112108
-297.28909,336,62.324178
-213.114818,396,62.68737
-177.598657,280,62.910428
-276.708114,313,64.243551
-192.806925,295,64.454169
-251.499414,310,64.708401
-55.703758,271,64.886091
-124.740373,347,65.089505
-66.588237,266,65.299913
22.608192,1000,67.345215
-73.228319,307,67.586419
50.966024,1000,68.297925
-195.736057,722,70.162149
-25.786937,1000,70.913491
-118.133501,1000,72.900477
59.633205,1000,73.740798
-174.6098,601,75.337967
-116.621567,678,75.71427
-52.317869,1000,76.364563
-7.735528,1000,78.321105
-91.902578,1000,79.124156
30.670891,1000,81.115581
58.819577,1000,81.936451
56.917669,1000,83.890084
44.377147,1000,84.477681
26.164144,1000,86.472421
40.726349,1000,87.134959
47.992211,1000,89.051325
-31.400085,1000,89.763018
-24.743995,1000,91.472994
-25.770003,1000,92.206144
40.988131,1000,94.007818
-134.281343,1000,94.705086
-32.913709,1000,96.680297
-68.454895,1000,97.263866
-45.11831,1000,99.035525
-97.267454,1000,99.630745
-41.128078,1000,101.466744
9.724485,1000,102.152125
-101.515025,832,103.957273
-56.625042,1000,104.644209
-59.725832,1000,105.245816
-190.273183,863,106.817172
-57.836688,1000,107.451822
-65.944809,1000,109.452082
-33.267899,1000,110.025976
66.075488,996,112.126199
-50.12194,1000,112.878678
-48.539201,1000,114.753599
-99.18452,1000,115.627573
-67.69365,1000,117.372519
-29.220647,1000,118.15822
-93.832284,1000,120.074518
-86.31886,1000,120.703209
-69.212201,1000,122.613628
-96.171031,1000,123.354366
-71.263259,1000,125.28972
-71.911452,1000,125.994695
-78.208362,1000,127.758156
-69.872268,1000,128.282095
-78.692934,1000,130.17975
-48.599049,1000,130.976581
-37.218585,1000,132.741614
-53.593298,1000,133.427325
-71.699099,1000,135.693721
-57.054139,1000,136.383311
1.714314,1000,138.464831
50.732948,1000,139.151262
25.409675,1000,141.130618
17.30839,1000,141.984611
75.773071,944,143.844804
-9.847572,1000,144.52662
-37.589277,1000,146.536758
58.751803,1000,147.257952
101.411561,955,148.079429
-49.944381,676,149.922059
145.163876,941,150.60554
59.463908,1000,152.857183
2.254571,1000,153.510959
108.90285,839,155.365727
54.354615,1000,156.272629
44.350686,1000,158.542533
59.156691,1000,159.333029
38.229283,1000,161.658897
28.963367,1000,162.486341
-43.458144,663,163.067863
144.663604,746,165.168584
-18.003718,1000,165.879071
-101.505873,833,167.798883
-60.534046,1000,168.476493
134.973473,658,168.940254
53.604478,1000,171.058081
13.991573,1000,171.781302
19.59132,1000,173.892518
131.37006,884,174.637586
18.004212,1000,177.052984
61.067256,972,177.780068
-132.726141,869,179.665106
30.367949,1000,180.449843
114.786261,951,182.345196
107.907286,740,182.914948
47.39286,1000,184.860837
123.580944,751,185.412774
73.443105,809,186.025184
142.883505,732,187.90996
30.688041,1000,188.68335
67.51905,1000,190.520236
46.080746,854,191.074399
28.428079,1000,192.89316
100.280922,942,193.531704
93.610015,958,195.302607
132.633364,620,195.76674
43.374425,1000,196.466289
33.159662,1000,198.146801
51.139513,1000,198.944017
118.079852,748,200.776158
-58.853514,549,201.167434
67.991269,1000,201.81913
44.533533,880,203.730771
-85.896904,487,204.056965
90.879695,764,204.526976
74.656171,1000,206.578834
51.816125,1000,207.212722
144.926665,608,208.888415
177.528761,484,209.259267
23.834202,1000,209.817332
58.8348,1000,211.732471
-198.059945,625,212.183506
96.430655,1000,214.126986
75.203984,1000,214.908071
151.917593,673,216.666869
186.675749,718,217.278258
-72.007018,533,217.618176
83.562165,1000,219.656686
122.168151,657,220.265357
159.819151,593,220.738763
94.342727,1000,222.613755
82.071104,1000,223.408938
-64.045978,412,223.753723
173.668626,608,225.362321
171.308233,568,225.675805
155.057984,538,226.016177
60.775369,1000,228.26616
-77.852317,528,228.642333
134.842411,610,229.022328
102.04947,1000,230.977667
131.78422,563,231.391512
207.346504,503,231.741738
134.173681,549,233.572008
201.660095,837,234.204551
-29.593122,506,234.506181
138.369139,690,236.255368
97.482948,1000,236.962174
173.433922,630,237.380495
169.791442,472,239.059102
-54.684652,519,239.501859
166.279316,611,239.833053
171.44072,492,240.10464
-42.340805,351,241.81878
-67.476998,448,242.141034
99.494386,1000,242.975857
155.109722,501,244.75407
133.715031,503,245.115347
-61.64812,361,245.38639
202.238997,569,245.811374
210.350168,519,246.177403
164.039507,464,247.90667
-146.408721,471,248.201096
126.309329,586,248.643402
106.473735,1000,250.735758
184.966349,526,251.083015
171.096345,618,251.573408
-178.711772,555,253.301317
102.479962,1000,254.139988
123.20307,1000,254.854882
165.533279,579,256.313176
90.152577,1000,257.129918
-88.234369,569,258.752473
103.624261,1000,259.523932
168.89217,530,259.927435
144.583675,734,261.669465
131.20961,558,261.962875
-93.135881,382,262.209406
-79.125456,591,262.511314
120.674009,665,264.332764
-80.333504,485,264.680523
-82.89879,496,265.093186
125.83651,607,266.974569
-60.874781,291,267.162828
117.197679,709,267.610771
88.448121,1000,268.373884
168.115775,906,270.428068
-95.813795,557,270.877204
59.954781,1000,272.950898
129.080716,753,273.553582
123.34651,589,274.023728
-109.563504,528,275.810287
143.566025,610,276.193307
160.690834,643,276.689348
-123.864784,657,278.348567
136.279159,599,278.800996
131.957413,549,279.197189
74.707857,1000,281.221831
157.836663,664,281.642901
42.554542,1000,282.276469
140.379103,685,284.127509
141.177617,732,284.670073
154.140464,994,286.793497
-140.335565,636,287.201701
-74.057273,452,287.536054
-121.159814,638,288.0145
-100.647101,521,289.766626
-69.019713,574,290.191984
193.22628,632,290.658841
73.713534,1000,292.658281
105.796649,677,293.230818
50.221329,1000,295.47248
46.910927,1000,296.06584
87.066278,1000,298.038003
142.088541,680,298.477581
-89.779123,659,298.963362
101.192383,936,300.731169
62.530107,1000,301.461475
141.743957,651,301.968577
105.28143,808,303.734114
154.719487,965,304.489377
106.745757,739,306.316206
76.946023,1000,307.084111
130.215374,818,308.966109
102.255916,776,309.637846
148.628291,937,310.299459
65.279055,1000,312.450902
75.818575,1000,313.198618
149.319802,611,314.788943
123.189512,877,315.502709
144.82577,634,315.94668
159.383504,613,317.613158
162.361165,609,318.103649
89.757072,1000,318.786688
122.672118,557,320.568481
223.860921,662,321.003395
119.634894,1000,322.924801
170.653259,756,323.505858
116.016234,608,324.003798
106.308544,1000,325.903898
41.824358,1000,326.759308
71.386359,1000,329.085387
-59.783555,419,329.485069
82.185333,1000,330.183366
88.81168,1000,332.31969
129.214958,1000,332.981021
133.329841,1000,334.96908
65.754451,1000,335.738593
172.918357,488,337.418422
117.381006,1000,338.190003
162.256965,482,338.524543
78.612621,1000,340.767194
122.792525,1000,341.477155
136.139179,1000,343.484838
243.200291,689,343.993618
101.099858,1000,345.82873
191.592867,531,346.178877
193.016476,421,346.430338
-1.840432,516,346.668501
74.676843,1000,347.860965
108.895191,1000,348.287935
101.817961,1000,349.46761
135.549872,1000,349.892936
122.552062,1000,351.065075
161.225698,472,351.271642
65.888481,1000,351.748772
