#{"t_start": 1779806284.459273, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-101.584305,172,0.081642
-210.725984,113,0.125156
-318.515055,84,0.159157
-129.085456,73,0.189152
-196.408893,74,0.218155
-374.086888,89,0.255661
-322.752524,92,0.290663
-396.155993,180,0.359255
-328.09296,88,0.394257
-251.973658,125,0.444765
-266.763376,81,0.478403
-51.853893,152,0.538067
-253.67021,97,0.577066
-337.57879,81,0.607067
-61.753368,74,0.637574
-200.224611,111,0.681576
-315.369994,99,0.719577
-353.399181,110,0.761082
-215.245673,72,0.790084
-184.74566,121,1.570019
-71.185953,69,1.599018
-288.822053,91,1.635536
-439.757519,143,1.690538
-37.84126,68,1.71854
-453.000374,152,1.776046
-236.618514,104,1.814554
-280.029795,75,1.846703
-129.24959,66,1.871703
-422.180649,114,1.91571
-512.431813,116,1.963216
-144.690795,227,2.053183
-382.41994,105,2.094188
-206.252267,326,2.222723
-205.861657,110,2.266729
-51.060597,76,2.297725
-424.902822,109,2.340948
-313.712186,85,3.124894
-81.840315,69,3.151894
-90.656057,105,3.191894
-78.006778,85,3.226411
-302.070154,116,3.271413
-161.229361,119,3.315413
-88.582437,91,3.351924
-329.979719,105,3.391441
-81.545258,145,3.447955
-120.705593,142,3.502954
-59.776354,78,3.534978
-497.754954,90,3.570989
-85.928716,111,3.612992
-310.979089,102,3.656957
-87.381272,93,3.691957
-368.914985,109,3.736468
-134.317108,185,3.809476
-194.695617,103,3.849464
-376.700298,75,3.877466
-469.800978,143,4.634677
-118.097817,127,4.685184
-210.25816,105,4.726693
-87.087768,88,4.762694
-64.576079,142,4.817699
-190.515103,141,4.872207
-145.526834,150,4.929908
-51.486497,113,4.973907
-198.371844,131,5.024426
-82.31442,89,5.06343
-156.802401,96,5.10343
-153.974432,181,5.174454
-292.034157,116,5.219452
-125.961767,80,5.253475
-79.874727,147,5.312478
-123.596262,95,5.349991
-85.150737,130,5.395995
-80.567718,74,6.138495
-66.369461,92,6.171496
-145.360658,92,6.207494
-170.942155,113,6.251004
-80.600549,72,6.278006
-115.900407,162,6.338521
-35.227602,158,6.398087
-62.087011,137,6.453849
-40.810586,90,6.488849
-120.826513,139,6.54536
-227.333087,206,6.62289
-33.058082,120,6.669196
-207.374618,103,6.707704
-209.968485,128,6.757214
-117.744605,91,6.791214
-205.037578,91,6.827437
-99.299275,95,6.864437
-360.039129,123,6.913438
-503.192969,135,7.735427
-58.155509,104,7.78043
-144.732386,188,7.86196
-168.448136,166,7.932993
-225.265484,152,7.996989
-89.751731,109,8.043521
-49.98037,179,8.139239
-253.948815,186,8.218242
-75.267518,154,8.284752
-344.518893,132,8.339279
-100.58798,141,8.400473
-84.179481,185,8.48336
-111.355223,130,8.537875
-177.229172,182,9.367009
-246.377885,110,9.415544
-153.710428,117,9.467055
-108.482642,154,9.529848
-187.287,117,9.576846
-177.444201,207,9.654356
-65.227235,65,9.679357
-15.271234,142,9.735378
-71.591321,167,9.800394
-102.627441,322,9.928926
-121.51229,148,9.990094
-228.99814,133,10.042605
5.610292,149,10.103604
-158.790576,130,10.155117
-80.508477,201,10.960732
-197.194836,170,11.030242
8.81719,102,11.070243
-17.467214,89,11.104241
-250.824005,178,11.171758
-284.633889,198,11.248264
-21.343875,126,11.297268
-251.375682,214,11.38378
-314.487441,179,11.458811
-376.242764,194,11.535306
-109.608722,80,11.56731
-106.044376,148,11.626308
-380.334375,137,11.681813
-353.82397,87,12.44797
-189.607072,145,12.50397
-146.760496,124,12.552483
-31.658789,186,12.62649
-21.455758,107,12.667995
-166.337772,233,12.756513
-227.529689,154,12.817486
-86.459968,197,12.898382
-129.902379,210,12.982433
-151.491267,149,13.037942
-63.58038,128,13.086943
-74.171514,206,13.169452
-349.232416,179,13.237539
-214.716145,152,14.036897
4.749674,122,14.083898
-17.650358,121,14.130413
-250.452064,207,14.212413
-29.713096,121,14.259926
-321.824894,170,14.326926
-50.662074,117,14.375431
-70.357148,141,14.428938
-287.825323,220,14.516457
-50.55669,104,14.557963
-17.889288,97,14.599046
-13.411389,121,14.646564
-396.898858,168,14.711566
