#{"t_start": 1779806747.440205, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-468.880128,138,0.089244
-108.662165,116,0.150816
-367.014501,91,0.207367
-315.468275,86,0.246818
-434.578058,83,0.326407
-391.358828,98,0.403094
-61.689705,80,0.47796
-319.995007,120,0.601986
-148.503367,137,0.688724
-298.382846,111,0.776524
-41.301404,89,0.829595
-343.762923,82,0.879234
-162.766909,103,0.958411
-506.55381,110,1.038015
-315.557605,183,1.141515
-206.614892,137,1.216967
-455.053727,89,1.288816
-129.18541,140,1.402838
-413.210707,162,2.795992
-411.808111,84,2.834745
-346.318555,94,2.881709
-199.299469,130,2.942352
-363.673274,91,2.984364
-221.771709,128,3.078735
-288.556012,122,3.189865
-118.49859,102,3.292226
-408.034011,89,3.35945
-323.682291,91,3.412354
-362.492428,119,3.471509
-161.827444,172,3.59652
-69.249965,75,3.667143
-197.180932,119,3.764598
-276.516692,113,3.817614
-359.008314,112,3.886211
-121.762771,154,4.025165
-332.448038,98,4.110863
-184.847786,105,5.531849
-214.385856,146,5.618593
-531.694666,110,5.723042
-297.235536,128,5.849873
-306.639308,97,5.899798
-352.184518,116,6.027816
-89.803557,89,6.099077
-547.891879,146,6.20811
-299.98483,98,6.263777
-219.597728,120,6.325347
-43.632752,155,6.397936
-524.253392,80,6.444968
-169.5418,132,6.55853
-113.881651,102,6.635056
-259.011805,108,6.727614
-119.177165,98,6.787154
-364.55061,114,6.881736
-52.853541,84,6.963278
-172.444906,106,8.253554
-168.414333,102,8.334696
-326.361858,150,8.479
-255.286489,112,8.606738
-245.898746,174,8.749885
-290.911252,107,8.85833
-79.551339,184,9.023432
-70.323771,81,9.116019
-54.970494,129,9.234914
-93.888141,87,9.281873
-169.927549,135,9.359495
-415.108809,191,9.532209
-91.885455,135,9.636467
-126.161486,93,9.682932
-151.902843,126,9.755593
-393.781571,130,9.821548
-74.877733,83,11.123746
-218.606941,215,11.379287
-78.729767,69,11.45771
-267.129495,119,11.538183
-128.166058,85,11.589362
-56.478731,83,11.683428
-54.568583,84,11.733156
-112.580978,81,11.792248
-490.227266,181,11.97299
-239.215654,118,12.065542
-206.684072,91,12.129655
-115.169837,76,12.198171
-296.786825,110,12.278011
-33.852474,91,12.329101
-266.23979,131,12.403633
-425.40983,159,12.522742
-66.339486,74,12.600443
-172.618327,121,12.699653
-67.445368,106,12.798726
-336.134502,142,14.148962
-576.869352,123,14.219141
-369.105069,112,14.301998
-417.372877,134,14.380813
-166.152263,96,14.489269
-48.728754,90,14.548317
-378.438205,126,14.672787
-28.353487,85,14.756195
-6.319665,111,14.845099
-205.768783,103,14.928106
-271.655592,93,14.977783
-111.136843,98,15.035885
-73.54495,88,15.092105
-223.470311,117,15.19479
32.092886,87,15.254534
-207.89095,87,15.291644
-87.108969,90,15.333717
-466.723237,132,15.397345
-14.381141,85,15.442452
-472.769807,118,16.693289
-86.571122,82,16.732398
-76.978316,76,16.773502
-291.516741,137,16.860129
-345.114919,117,16.936269
-82.030626,85,17.007024
-77.715856,92,17.050119
-275.287723,121,17.127779
-35.248424,86,17.202381
-270.029684,85,17.260532
-129.666563,126,17.336048
-87.994872,101,17.394372
-31.373346,90,17.451428
-78.397606,106,17.569382
-349.315293,146,17.652077
-104.871535,127,17.732207
-79.51269,77,17.798885
-14.682869,73,17.858124
-279.189876,107,17.957274
-308.406084,151,18.034489
-199.876923,148,19.343912
-228.600684,150,19.425854
-77.983896,92,19.46707
-128.536049,112,19.522704
-93.337861,101,19.627457
-184.501395,135,19.737488
-91.316483,118,19.78947
-74.47977,100,19.836416
-222.404332,129,19.917716
-58.04509,101,19.980796
-271.126506,104,20.09592
-90.843568,99,20.173407
-57.81175,149,20.268263
-291.940306,106,20.318834
-30.910916,1000,22.035016
