#{"t_start": 1779811249.5403717, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-413.629135,92,0.061182
-371.80614,90,0.11008
-357.911355,152,0.198034
-297.786169,169,0.283468
-167.080245,88,0.361696
-91.290694,134,0.455615
-431.862817,102,0.512443
-284.656849,184,0.65199
-367.997783,104,0.717204
-349.205372,140,0.843428
-28.999492,79,0.904652
-69.733473,82,0.9514
-234.452614,109,1.019185
-240.207499,91,1.066254
-114.578476,80,1.109786
-528.213533,110,1.183246
-447.605327,88,1.257545
-370.196691,95,1.338348
