#{"t_start": 1779808377.045735, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-466.219503,96,0.047591
-416.767676,153,0.110358
-186.229003,185,0.18294
-312.533045,92,0.220479
-284.115122,161,0.290516
-338.266783,82,0.322043
-459.186016,180,0.391644
-134.32263,134,0.445232
-349.592425,146,0.501915
-84.36422,101,0.541937
-122.554667,118,0.58996
-12.862327,74,0.619487
-535.005027,106,0.663516
-64.119718,98,0.703545
-375.481362,90,0.740077
-240.283212,95,0.776592
-322.69818,122,0.824792
-341.233498,106,1.603995
10.551672,96,1.641524
-187.92416,78,1.672071
-455.252033,89,1.71058
-420.939645,138,1.765269
-417.964851,96,1.802925
-85.128555,85,1.836947
-143.071052,72,1.865458
-272.883921,121,1.91148
-357.859961,101,1.952523
-353.881093,185,2.025072
-403.895891,116,2.073655
-106.003953,106,2.114674
-264.54408,92,2.152201
-461.881504,95,2.190228
-335.601591,96,2.229242
-15.083242,154,2.287775
-451.837963,85,2.320791
-321.811781,77,2.350302
-78.25873,91,3.169642
-131.280819,136,3.225184
-195.861568,138,3.280877
-36.62418,162,3.342398
-103.00713,148,3.400427
-188.117741,76,3.43095
-252.759249,144,3.487227
-348.223826,156,3.549261
-62.83971,103,3.590282
-257.519965,100,3.6293
-315.020406,105,3.671829
-101.444739,85,3.706859
-273.587353,109,3.749949
-111.987445,146,3.807017
-173.179417,158,3.870053
-76.572449,65,3.892563
-83.983263,82,3.927582
-153.28977,117,3.97317
-64.915996,72,4.757403
-168.248842,132,4.810276
-567.961052,254,4.906994
-298.094121,123,4.957062
-170.576905,127,5.009138
-239.487827,111,5.05473
-181.269591,182,5.128266
-340.66609,143,5.187052
-255.909822,85,5.221094
-321.078559,115,5.270637
-29.433432,87,5.307448
-87.540817,101,5.35023
-319.550852,128,5.397822
-237.694408,118,5.441331
-258.365612,97,5.478891
-171.543948,116,5.52395
-162.05148,136,6.30834
-38.826478,132,6.362882
-267.365816,150,6.421435
-158.215266,79,6.45395
-158.752412,85,6.487619
-384.182079,173,6.554748
-87.61521,73,6.584777
-158.809317,124,6.632481
-246.888788,132,6.684015
-220.836019,149,6.74414
-80.106928,84,6.777758
-271.704808,118,6.825617
-127.663088,138,6.879156
-80.076969,112,6.923376
-47.64842,111,6.96708
-110.832686,70,6.996096
-133.250587,156,7.058651
-87.179921,105,7.821486
-312.07833,191,7.897786
-186.743894,186,7.972341
-23.205069,116,8.018355
-38.510791,115,8.06288
-226.936027,120,8.1129
-193.438677,138,8.167635
-121.550988,75,8.197147
-36.316559,85,8.231345
-160.886697,165,8.29351
-134.546002,136,8.34775
-149.424612,88,8.381277
-426.157902,191,8.455833
-181.49544,141,8.51087
-134.585199,164,8.577393
-79.11939,95,8.617445
-42.152988,177,9.406492
-181.335973,123,9.457029
-55.753623,99,9.498596
-47.115394,86,9.533128
-121.986328,106,9.576649
-76.572174,85,9.613679
-44.094166,88,9.650705
-97.561356,158,9.71425
-80.237428,119,9.761437
-53.930179,113,9.805949
-41.303814,80,9.837201
-59.386855,111,9.882227
