#{"t_start": 1779807143.6209693, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-250.24713,151,0.094621
-251.642886,104,0.180836
-458.88286,79,0.227974
-361.439897,97,0.27192
-424.448834,151,0.372523
-93.141726,76,0.419067
-310.444896,107,0.551363
-60.955034,83,0.618057
-345.897344,127,0.700943
-338.625311,103,0.748608
-479.566869,95,0.832787
-308.838282,145,0.932543
-427.598818,110,1.023263
-461.848511,103,1.089332
-184.422325,78,1.127916
-117.543738,101,1.188015
-519.792472,159,1.340653
-366.802749,98,1.386693
-117.13804,114,2.750853
-97.118577,104,2.807343
-227.893831,116,2.883548
-373.995433,91,2.932795
-124.018007,147,3.006913
-215.558478,136,3.072001
-399.231932,144,3.149092
-114.304072,99,3.195128
-108.184089,158,3.280538
-223.116753,103,3.342795
-108.851517,138,3.412342
-153.961595,113,3.514558
-433.963775,79,3.591659
-435.962254,139,3.69436
-204.568406,105,3.745466
-404.874874,103,3.810756
-122.538386,76,3.868316
-95.26417,118,3.944478
-288.237932,158,5.253544
-251.232148,154,5.416299
-310.768975,151,5.514206
-92.856632,86,5.584168
-184.253181,145,5.682678
-76.301872,139,5.750174
-95.221951,96,5.79237
-148.79967,119,5.849681
-100.670347,149,5.917786
-218.458248,133,5.981852
-101.608303,111,6.064278
-84.730385,117,6.133069
-403.325236,129,6.193985
-404.132116,141,6.254874
-160.390942,163,6.330834
-170.678772,119,7.561711
-343.274729,135,7.689747
-50.380685,120,7.785949
-312.853405,114,7.886559
-264.857536,106,7.951154
-27.675128,138,8.055928
-64.287213,97,8.137866
-160.325198,107,8.186422
-85.34546,119,8.257073
-106.643903,99,8.347226
-71.959804,83,8.398285
-118.856005,116,8.508799
-90.166881,104,8.603719
-285.240631,104,8.682215
-85.574146,89,8.7398
-459.475946,131,8.873335
-364.105919,106,8.952307
-82.85166,84,9.007153
-38.512932,108,9.056726
-52.795628,99,10.343405
-120.051462,111,10.396567
-79.27116,111,10.462801
-95.845577,97,10.535542
-54.435707,145,10.631415
-60.659967,117,10.728225
-192.144212,141,10.842533
-106.078521,90,10.885193
-162.800552,69,10.91675
-44.275917,72,10.963449
-210.049278,78,11.027147
-74.193995,126,11.094008
-129.598759,133,11.161053
-51.412883,127,11.236003
-51.526735,91,11.285216
-60.494179,66,11.355924
-198.082351,97,11.437298
-35.687729,96,11.483076
-109.290391,115,11.565974
1.000519,101,11.623647
-137.074064,154,12.849995
-113.300423,105,12.902045
-159.141515,104,12.993644
-119.571207,89,13.092739
-91.97998,77,13.187934
-83.20161,111,13.294263
-97.133344,153,13.369964
-66.832137,87,13.416112
-165.642954,96,13.48722
-120.886822,111,13.549298
-77.237304,82,13.60291
-88.706457,168,13.70127
-129.771043,126,13.768218
-54.264487,69,13.803824
-209.690923,120,13.88037
-30.272541,158,13.97063
-111.251401,121,14.025285
-75.355545,135,14.089988
-52.330322,75,15.426155
-110.458392,102,15.480801
-66.047273,90,15.526839
-79.198196,96,15.623764
-81.174114,117,15.704426
-24.241049,171,15.833911
-66.047979,147,15.908323
-51.971254,143,15.973239
-69.17033,123,16.106341
-70.467298,123,16.211801
-232.638763,130,16.290931
-99.741233,120,16.348755
-4.235834,1000,18.049911
-72.866992,123,18.1122
-61.308876,113,18.1628
-37.206439,122,18.219119
-56.312772,85,18.299425
17.346472,110,18.362673
-65.093456,104,18.409284
-83.247074,151,18.4873
-152.386349,142,18.556921
-189.636098,106,18.605079
-118.196084,101,18.650713
-81.799535,92,18.696155
-51.171615,177,18.777803
-84.216217,140,18.841739
-47.669534,150,19.873285
-74.147882,75,19.919631
-41.188324,67,19.955623
-43.758319,136,20.067467
-202.237034,107,20.154029
-52.090164,155,20.245784
-196.700519,114,20.315362
-100.268066,162,20.428428
-61.360089,78,20.465456
-344.995197,130,20.526598
-42.279803,91,20.573224
-23.762232,112,20.650949
-0.125904,157,20.752907
-147.119114,539,21.149947
-60.535805,148,22.500747
-66.7719,86,22.551692
-75.332432,77,22.598279
-314.434488,154,22.680687
-115.77236,130,22.741453
