#{"t_start": 1779810731.4815626, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-106.017391,132,0.083517
-80.260811,134,0.162397
-230.211763,166,0.260249
-159.051045,148,0.346735
-83.126841,141,0.423013
-78.731531,154,0.515997
-58.621131,113,0.582937
-315.433847,99,0.641138
-352.519236,114,0.706999
-230.362921,119,0.775871
-93.799822,159,0.871893
-111.713966,82,0.918947
-178.718336,192,1.030995
-287.287779,98,1.086028
-277.833673,103,1.14645
-379.844133,154,2.28598
-225.79784,100,2.344842
-38.394645,68,2.385754
-344.14836,115,2.455639
-243.969773,106,2.534938
-228.262355,197,2.672047
-347.68283,104,2.737034
-339.454352,98,2.792996
-228.413239,152,2.883309
-367.374321,125,2.953312
-294.935153,86,3.003986
-27.103092,89,3.053037
-184.49731,69,3.09379
-256.702826,118,3.158436
-410.779228,94,3.212981
-167.981093,75,3.253126
-408.402619,90,3.302308
-244.534196,89,3.356512
-354.127732,131,3.434053
-611.129109,145,4.531296
-647.470875,173,4.630733
-81.938776,117,4.696632
-310.671396,114,4.762988
-360.894106,93,4.816501
-329.750308,143,4.899538
-272.151774,112,4.964668
-41.593489,108,5.02684
-56.291371,84,5.077002
-497.685047,78,5.124757
-145.297255,134,5.198905
-283.59214,80,5.246297
-453.175541,130,5.321291
-334.686382,107,5.380341
-222.542486,96,5.43564
-180.839368,239,5.575902
-355.30923,122,5.648245
-174.004839,98,6.707463
-118.674728,160,6.799282
-181.861606,255,6.946032
-312.879184,91,7.000128
-252.240986,117,7.06707
-508.577719,124,7.137968
-36.596454,106,7.198546
-225.646599,109,7.25903
-75.01135,76,7.303552
-83.58047,89,7.354203
-321.210262,179,7.456866
-312.169363,90,7.510022
-93.589033,165,7.610272
-284.722737,147,7.69839
-11.391326,96,7.748011
-100.130664,136,7.824293
-205.781499,112,8.874822
-331.510714,80,8.921144
-159.214061,143,9.004181
-197.205293,170,9.094308
-368.142761,81,9.145839
-103.250097,156,9.234654
-158.119126,83,9.283254
-250.800457,113,9.344833
-44.066786,75,9.39002
-327.601326,138,9.469207
-292.658424,95,9.524864
-110.626273,100,9.580849
-129.435256,128,9.656083
-44.915731,173,9.754256
-52.925523,97,9.810843
-532.083293,116,9.876062
-94.449721,102,9.936176
-89.190851,77,9.978303
-276.187194,92,11.023753
-231.089277,92,11.073865
-224.68372,111,11.136875
-50.319914,127,11.212486
-424.377607,119,11.282543
-154.335367,106,11.343971
-57.135791,70,11.385396
-162.799732,97,11.439962
-113.641411,151,11.526687
-138.613689,97,11.581945
-359.575665,123,11.651249
-297.876863,118,11.722725
-406.990481,156,11.815297
-310.888398,99,11.872336
-408.145897,83,11.918882
-299.009128,97,11.97435
-5.34981,75,12.020243
-82.869501,76,12.067352
-344.465255,84,12.116989
-99.412293,151,13.202582
-264.46151,143,13.284886
-257.558532,86,13.334033
-418.929977,91,13.38731
-185.206531,128,13.465113
-322.513257,102,13.525947
-293.165744,104,13.587251
2.338303,1000,14.223972
-0.486086,73,14.267523
-240.730727,111,14.333068
-129.515697,124,14.410242
-155.34038,103,15.520669
-223.034392,132,15.599174
-305.325433,123,15.670274
