#{"t_start": 1779808149.618602, "env_id": "LunarLanderContinuous-v2"}
r,l,t
84.519344,1000,67.395542
50.596636,1000,67.848506
89.131256,1000,69.043521
90.2973,1000,69.452691
162.827508,585,70.417128
78.832385,1000,70.813209
106.741665,1000,71.945081
94.769751,1000,72.348216
91.692749,1000,73.458437
106.338078,1000,73.871385
118.120855,1000,74.995806
206.488085,650,75.262536
109.020089,1000,75.673387
123.483836,1000,76.810649
187.225166,610,77.057209
132.367802,1000,78.191962
120.774941,1000,78.603326
198.977428,625,78.861176
-26.318646,364,79.724624
187.630102,439,79.90023
129.044903,1000,80.30787
113.063747,1000,81.427027
97.429436,1000,81.845721
140.026866,1000,82.974747
112.965123,1000,83.389919
136.677071,1000,84.532486
118.283628,1000,84.941405
126.040414,1000,86.062652
193.552929,421,86.230392
190.751149,506,86.432791
83.576801,1000,87.556309
136.551173,1000,87.987277
120.355644,1000,89.108355
96.66558,1000,89.54285
-11.396288,382,89.690561
126.063964,1000,90.812701
120.916618,1000,91.214968
110.841644,1000,92.325039
129.908857,1000,92.721745
97.51069,1000,93.824418
132.213567,1000,94.229146
133.433799,1000,95.342225
83.171732,1000,95.742429
107.329778,1000,96.86706
124.280001,1000,97.272301
143.646849,1000,98.384163
129.18681,1000,98.781186
121.972614,1000,99.902705
7.50908,355,100.043327
120.293468,1000,100.46274
133.333004,1000,101.603075
90.995879,1000,102.011491
137.075,1000,103.158293
-14.30668,332,103.285293
104.942436,1000,103.676932
128.790113,1000,104.78144
130.344058,1000,105.183337
214.185658,507,106.142468
68.556841,1000,106.545656
100.557547,1000,107.669662
110.792841,1000,108.071608
109.726883,1000,109.187514
-11.07303,429,109.35117
136.236937,1000,109.746453
102.879636,1000,110.881062
139.325114,1000,111.281337
126.373993,1000,112.400509
228.24363,445,112.579698
125.251096,1000,113.692621
143.724935,1000,114.097238
108.153355,1000,114.495018
114.294758,1000,115.617476
129.305551,1000,116.016487
108.267472,1000,117.11848
204.753842,373,117.267736
126.724616,1000,118.377823
-2.920524,377,118.522905
153.050605,1000,118.910775
-6.064176,328,119.03184
118.30266,1000,120.13402
6.985524,378,120.279631
6.522458,252,120.374389
131.284379,1000,121.698389
5.512843,342,121.889633
145.840458,1000,122.45082
116.663856,1000,123.604976
38.629081,260,123.709534
182.095721,1000,124.832307
2.614322,415,124.994047
126.178129,1000,125.394478
130.556227,1000,126.485649
143.811208,1000,126.888517
114.170213,1000,127.996519
124.972716,1000,128.412731
140.583305,1000,129.598232
-10.891111,384,129.749327
150.193445,1000,130.142364
101.238771,1000,131.257916
116.789674,1000,131.663089
19.768313,254,131.761378
100.015883,1000,132.878863
115.111466,1000,133.267506
157.300077,1000,134.352761
143.712787,1000,134.738782
124.771347,1000,135.85311
95.97453,1000,136.252477
253.670773,377,137.118259
123.052353,822,137.445725
112.917552,1000,137.8437
189.484517,555,138.767786
92.819122,1000,139.17759
118.95034,1000,140.303752
87.129463,1000,140.697448
136.507232,1000,141.80446
124.69401,1000,142.21173
160.27701,1000,143.323661
116.614589,1000,143.724715
168.668525,1000,144.856235
187.199721,963,145.236901
127.60297,1000,146.32558
111.153207,1000,146.714975
111.568878,1000,147.813695
110.1287,1000,148.199523
105.141202,1000,149.312026
42.721104,252,149.410044
116.497968,1000,149.7986
163.317995,1000,150.906479
155.795101,1000,151.31741
152.338029,1000,152.430768
141.772581,1000,152.826143
151.214696,1000,153.916549
142.256188,1000,154.299281
158.201145,1000,155.407195
121.412354,1000,155.805107
124.650314,1000,156.914529
173.115757,1000,157.313685
205.672523,384,157.465696
226.349371,388,157.617485
122.12179,1000,158.708867
106.798923,1000,159.113115
186.793375,1000,160.22745
128.063285,1000,160.639204
236.672148,840,161.689186
192.987757,475,161.880803
155.846985,1000,162.310013
29.534586,254,163.123484
148.873179,1000,163.525704
120.769856,1000,164.651873
28.025583,257,164.748444
129.325244,1000,165.14083
165.164199,1000,166.286565
19.91004,258,166.382655
174.521643,1000,166.777607
119.627968,1000,167.868898
114.131879,1000,168.26157
137.462515,1000,169.373552
136.613471,1000,169.766876
135.776999,1000,170.871225
141.992501,1000,171.262194
222.269219,568,171.480484
230.159739,406,172.346586
152.055832,1000,172.743965
122.517813,1000,173.847032
36.95055,308,173.96888
145.089152,1000,174.369637
122.086133,1000,175.487699
27.513709,217,175.572139
204.524586,888,175.947116
158.332896,1000,177.076286
157.607996,1000,177.482261
144.009695,1000,178.602874
143.382438,1000,178.999191
222.873351,424,179.169816
126.387841,1000,180.280462
235.711457,245,180.377066
21.340103,272,180.481573
119.890598,1000,181.595438
155.070522,1000,181.987785
46.215259,221,182.069828
38.851928,281,182.179603
31.343922,210,182.959996
141.083824,1000,183.359347
151.913241,1000,184.463715
152.880799,1000,184.859469
153.938523,1000,185.967666
129.422479,1000,186.364948
135.571336,1000,186.799026
121.278358,1000,187.897511
49.161064,267,188.001919
136.637407,1000,189.118095
151.780007,1000,189.520605
217.672436,383,189.671878
107.932039,1000,190.780138
109.752929,1000,191.184317
4.062595,226,191.272474
223.365559,763,192.279391
135.135268,1000,192.665879
139.890034,1000,193.774409
144.394674,1000,194.184891
234.574879,939,195.265395
166.963306,1000,195.667534
131.833778,1000,196.787777
31.63138,256,196.882979
162.339907,1000,197.277096
273.562399,692,198.24787
143.23742,1000,198.646647
230.154149,759,198.946206
135.549814,1000,200.0525
137.479524,1000,200.445773
221.517557,265,201.287357
150.909701,1000,201.677707
265.657229,953,202.054037
151.526294,1000,203.17411
233.478338,308,203.293667
272.316344,916,204.385264
113.561313,1000,204.775135
123.661953,1000,205.895014
119.090654,1000,206.290077
220.196395,326,206.41898
123.447294,1000,207.514442
275.325347,711,207.804148
171.712492,1000,208.90599
250.395946,523,209.120945
-2.310014,223,209.211139
148.207716,1000,209.603261
208.581559,261,210.450463
253.783194,375,210.602366
2.475192,262,210.751441
264.463173,515,210.964665
214.327178,362,211.111784
157.680031,1000,212.233429
256.337045,629,212.481612
16.597297,155,212.541639
138.583068,1000,213.655066
5.881318,210,213.737211
100.23837,1000,214.139724
136.897657,1000,215.243073
212.551243,300,215.363153
228.490551,302,215.479226
182.708282,521,215.692271
147.049332,1000,216.816755
140.951303,1000,217.210863
26.496825,309,217.330981
11.627278,193,217.404546
170.266991,1000,218.510057
275.319048,674,218.77853
126.082068,1000,219.8784
181.713888,1000,220.290784
130.30673,1000,221.4156
163.612755,1000,221.815886
233.296872,304,221.935655
232.39351,376,222.837196
130.615341,1000,223.242003
151.758472,1000,224.351262
158.225012,1000,224.760135
161.635322,1000,225.871028
162.772505,1000,226.291884
136.933429,1000,226.697645
