#{"t_start": 1779806511.0989282, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-139.22292,78,0.034515
-131.027486,88,0.069516
-150.467529,144,0.125527
-56.088148,203,0.205072
-493.054845,88,0.240068
-355.004343,89,0.27307
-278.132243,133,0.324578
-77.724381,75,0.35158
-37.709447,96,0.393099
-169.705801,113,0.442096
-184.790649,122,0.49061
-53.999904,95,0.527611
-55.081048,76,0.55961
-305.04978,94,0.595119
-102.333996,100,0.63412
-341.729043,107,0.67763
-294.10416,163,0.738139
-62.732835,94,0.777498
-296.32023,110,1.547901
-230.920558,101,1.589417
-230.758536,121,1.636419
-74.701403,142,1.693949
-36.404327,94,1.733456
-200.992506,97,1.771458
-269.357896,120,1.818967
-333.753548,108,1.860476
-174.083683,105,1.898988
-228.072572,120,1.946988
-115.112576,70,1.972989
-499.853306,126,2.023495
-134.426925,113,2.066502
-414.343237,127,2.116097
-53.33412,128,2.167298
-85.029632,91,2.202468
-217.342998,131,2.251469
-55.91561,102,2.289978
-317.429264,116,2.335976
-191.79303,123,3.161963
-248.777183,127,3.213041
-106.142774,81,3.245044
-218.388325,164,3.310559
-157.950757,192,3.385083
-40.073538,133,3.438077
-199.672291,80,3.471082
-419.375186,115,3.516588
-265.578124,102,3.555588
-62.962455,68,3.582099
-310.221183,86,3.611099
-226.475963,214,3.693612
-223.635091,118,3.742127
-142.572865,90,3.78065
-235.560206,130,3.829647
-97.31307,128,3.881159
-124.767557,93,3.917662
-293.943062,862,4.957408
-240.663252,104,4.995916
-39.127052,77,5.027915
-103.077397,107,5.070923
-65.016632,121,5.118576
-192.622766,137,5.176607
-209.425648,145,5.231113
-343.150375,150,5.288132
-90.073553,91,5.323128
-117.380689,78,5.354128
-233.823835,103,5.394636
-32.850182,114,6.153643
-104.719202,147,6.210664
-85.839898,76,6.243663
-52.064812,108,6.286886
-371.315934,113,6.331885
-460.059003,144,6.38841
-76.497147,74,6.416386
-76.374936,82,6.449386
-218.563749,143,6.505903
-102.492535,86,6.538915
-151.239703,145,6.597408
-21.754665,108,6.642401
-246.471699,121,6.689911
-213.349863,148,6.74591
-154.641488,84,6.77942
-228.073123,73,6.807427
-202.564719,162,6.871449
-279.950187,116,6.916953
-208.370657,124,7.681162
-99.197701,111,7.724158
-121.470258,147,7.77967
-169.391608,99,7.818667
-58.202995,127,7.86818
-73.694815,80,7.904236
-208.530159,162,7.971236
-11.750848,79,8.003768
-126.686467,132,8.060772
-164.656547,125,8.123288
-210.592522,152,8.18883
-279.667285,117,8.230833
-36.926378,131,8.279856
17.94992,112,8.325809
-50.464151,101,8.363808
-199.107384,140,8.420315
-74.337912,98,8.459315
-121.656603,112,9.226873
-46.885167,103,9.266877
-237.660972,106,9.310888
-360.556847,128,9.36211
-59.660376,153,9.421627
-115.221275,122,9.467626
-368.759054,135,9.51813
-309.844382,100,9.558128
-106.419332,91,9.595638
-285.96739,140,9.649638
-77.528616,76,9.680146
-319.776396,117,9.730145
-52.217467,153,9.787654
-76.489057,88,9.822654
-141.931343,186,9.897681
-107.05032,119,9.944068
-269.469752,127,9.991575
-159.767697,128,10.761597
-111.315357,162,10.822103
-107.023142,109,10.865105
-208.711548,131,10.912612
-494.838286,154,10.971616
-272.009491,114,11.017642
-34.277942,134,11.070157
-147.140668,113,11.11366
-211.217376,180,11.185693
-141.151918,102,11.22569
-547.282338,209,11.309202
-96.551846,92,11.343715
-33.478511,105,11.386747
-260.093206,123,11.435312
-37.831411,89,11.47112
-213.850992,118,11.518625
-60.590659,131,12.281832
-55.967543,132,12.333832
-185.307524,104,12.372346
-47.620564,173,12.445885
-124.790836,118,12.494384
-68.00115,119,12.544174
-160.703271,109,12.590234
-135.498899,107,12.633234
-77.184022,103,12.673242
-103.984873,172,12.738744
-266.446898,152,12.798251
-35.906912,149,12.85425
-196.170746,127,12.901763
-95.700372,98,12.940759
-44.979332,110,12.983268
-462.109073,171,13.05227
-8.39013,108,13.813772
-25.495775,118,13.858778
-248.822296,116,13.906488
-77.8949,138,13.960994
-277.428344,102,14.002517
-38.324199,141,14.060513
-60.427823,188,14.130029
-248.067916,107,14.172554
-119.712166,133,14.223059
33.078001,85,14.26006
-131.493813,118,14.303573
-107.270513,147,14.362088
-40.079046,136,14.415372
-264.055146,112,14.461775
-11.409924,136,14.514286
-25.299151,121,14.561286
-193.420092,162,15.337988
-44.650437,118,15.386048
-180.091801,95,15.424046
-57.218328,77,15.455047
-70.184011,104,15.496308
-141.928443,114,15.542309
-99.254431,113,15.586818
-103.734639,104,15.632337
-173.194221,127,15.683847
4.124879,105,15.724847
15.382548,114,15.767851
-59.573893,93,15.801357
-39.934071,146,15.856356
-79.912154,115,15.89987
-90.380934,147,15.961869
-234.371478,146,16.022388
-115.40881,150,16.080898
-217.394229,154,16.873776
-22.268436,113,16.92029
-27.134646,85,16.952286
16.736398,127,17.002795
-64.509874,113,17.045795
-31.397165,152,17.113243
-160.44738,131,17.168749
-21.801571,137,17.224266
-58.715085,88,17.260269
-79.206177,152,17.322089
5.009911,142,17.378645
-57.512874,85,17.412168
-15.563091,147,17.470676
-41.346242,97,17.508802
-180.185062,127,17.557962
-19.662799,129,17.60847
-73.651983,193,18.429581
-50.802709,163,18.49561
-57.577295,144,18.550124
-193.17975,186,18.624634
-60.248346,187,18.698149
-168.569605,210,18.780149
-159.805665,181,18.853177
-156.081928,542,19.084724
-51.290817,135,19.143244
-189.647847,115,19.191261
-209.823498,215,20.053216
-87.171586,144,20.111499
-95.686036,217,20.20202
-40.48304,236,20.292522
-35.27491,188,20.368529
-69.556198,211,20.451043
-180.676393,161,20.515557
-82.472231,187,20.589586
3.833668,111,20.632088
-101.348644,144,20.6896
-51.194615,216,20.773113
-56.957488,175,20.844544
-9.851253,179,21.636813
-125.307006,173,21.706321
-77.673459,176,21.774328
-258.939858,658,22.035384
-169.857311,175,22.104896
-26.996153,1000,23.221532
-26.098271,1000,23.614133
-202.605246,414,23.777158
-18.245675,1000,24.909358
-113.824206,238,25.006881
32.704539,1000,25.411454
-142.249651,219,26.218406
7.328821,264,26.325927
-160.361234,377,26.474463
-22.5269,1000,26.883085
42.536113,1000,28.005343
-165.931639,281,28.113785
-1.38214,130,28.167923
-87.926113,237,28.264966
-74.55308,254,28.3663
-132.479467,286,28.486325
59.577482,1000,29.623229
-34.680466,196,29.70405
70.295247,1000,30.111634
-129.916409,257,30.933264
73.380285,1000,31.342611
-60.467161,213,31.426119
-120.898981,377,31.573686
-53.910414,231,31.662708
36.353257,1000,32.785586
26.361703,185,32.860091
25.621356,190,32.935124
-23.946729,204,33.018632
112.268498,1000,34.164779
6.232099,250,34.263806
86.054738,1000,34.673201
116.170139,1000,35.803108
63.092512,1000,36.212986
94.786342,1000,37.342694
-10.168837,313,37.461205
22.04344,284,37.573713
-50.030308,254,37.675222
8.333979,1000,38.825649
28.288184,1000,39.242262
-29.404418,222,39.330281
79.241821,1000,40.454357
-139.990573,465,40.634374
-132.487491,413,40.79339
-20.817761,1000,41.913931
-132.596771,444,42.085441
72.392956,1000,42.492177
71.581739,1000,43.625012
71.945851,1000,44.028059
82.983316,1000,45.136461
-298.202138,967,45.515474
3.330219,1000,46.624226
-116.106815,366,46.766732
63.36348,1000,47.928358
-109.963186,216,48.014081
-122.763753,353,48.152588
-97.199761,581,48.381777
-134.246661,245,48.47718
-197.582568,432,48.641725
-186.376464,244,49.456146
-229.253912,783,49.764428
-161.252643,273,49.870444
-153.942444,257,49.967952
-180.941177,324,50.094469
105.21646,1000,51.196974
-122.187968,384,51.352
-42.972271,457,51.532047
-164.784403,306,51.646596
-53.037467,1000,52.744311
49.695121,1000,53.146898
-31.078087,1000,54.263449
11.260185,1000,54.65602
36.034455,1000,55.760785
-90.363392,456,55.942763
-109.4792,322,56.065276
-84.874771,482,56.248306
47.615555,1000,57.447019
80.210838,1000,57.884596
-123.677862,1000,59.061375
50.335866,1000,59.456269
58.774012,1000,60.561043
41.705106,1000,60.959558
47.080613,1000,62.053675
109.036107,1000,62.458786
106.688113,1000,63.576728
35.873123,1000,63.978114
67.090689,1000,65.643293
99.097335,1000,66.386009
138.562414,958,67.725322
71.353881,1000,68.15597
91.93974,1000,69.349272
84.124458,1000,69.771927
88.504801,1000,70.913603
105.528052,1000,71.309169
42.202173,1000,72.431422
-192.368413,425,72.598057
-18.709376,1000,72.993321
81.675797,1000,74.099237
164.524879,378,74.253264
39.016471,1000,75.371214
73.280889,1000,75.765983
25.394988,1000,76.892745
45.301818,1000,77.286791
39.613683,1000,78.398694
16.500291,1000,78.792776
62.98408,1000,79.188873
150.855359,774,80.200779
120.215373,1000,80.595456
-46.687497,266,80.704477
97.001252,1000,81.806731
139.579178,768,82.109258
81.717933,1000,83.220734
-30.854492,217,83.306736
186.195705,797,83.619365
-2.488404,300,83.738387
-35.048836,270,84.541328
46.643495,1000,84.935483
140.274142,527,85.140499
-171.014468,557,86.058446
120.521021,1000,86.461028
118.779411,1000,87.573948
181.957513,481,87.771683
124.276222,1000,88.165699
-48.954437,215,88.251723
-31.047433,220,89.049262
93.309825,1000,89.451427
115.774209,1000,90.554772
76.580762,1000,90.94983
77.278236,1000,91.349924
159.210057,359,92.189799
161.942847,662,92.451472
46.92608,1000,92.842555
91.696291,1000,93.947951
107.275476,1000,94.359756
198.368862,430,95.244198
97.920817,1000,95.644811
125.121842,1000,96.751836
98.905494,1000,97.149689
112.905532,1000,98.263931
-32.029944,575,98.477484
203.85475,491,98.671105
200.370388,802,99.713971
-2.717108,246,99.808485
114.046745,1000,100.212905
86.117545,1000,101.311519
85.116563,1000,101.703604
212.393228,401,101.867629
-13.459708,229,101.95918
196.022903,436,102.851923
-4.518785,439,103.026591
170.008067,526,103.240628
-46.597768,466,103.418665
131.733366,1000,104.526912
108.717488,1000,104.921134
1.979397,261,105.023159
139.98116,1000,106.128878
120.091115,573,106.354411
121.502594,1000,107.457086
115.910826,1000,107.845875
180.413758,581,108.079943
108.960277,1000,109.237118
128.775235,1000,109.629447
198.765084,518,110.529152
214.794231,945,110.917836
227.597299,328,111.043842
133.376466,1000,112.15751
143.2653,1000,112.56307
214.725326,289,112.677079
111.208472,1000,113.817243
130.138086,1000,114.217987
193.52696,402,115.102576
131.384949,1000,115.507782
-3.728335,291,115.618293
125.101665,1000,116.723055
130.789741,1000,117.11211
177.569493,616,118.052383
126.141542,1000,118.459495
182.314477,298,118.605781
133.441306,1000,119.750734
127.721759,1000,120.153819
234.813896,510,120.356846
238.488385,271,121.178021
131.824165,1000,121.571582
6.842489,268,121.676087
202.766926,317,121.794595
187.86512,475,122.669743
160.823092,510,122.868789
186.403788,494,123.066406
-16.827601,223,123.152916
72.218594,1000,124.258999
206.48163,370,124.399556
104.075428,1000,124.793691
109.710081,1000,125.906359
114.159488,1000,126.297979
108.346674,1000,127.415794
87.205665,1000,127.816611
138.807982,638,128.758332
224.926867,374,128.903847
78.030821,1000,129.290693
-4.107575,233,129.379251
110.138828,1000,130.472123
88.00343,1000,130.894947
-38.925282,526,131.819757
139.69583,1000,132.224789
-30.759124,398,132.382484
119.027568,1000,133.487488
-68.108478,730,133.763191
109.467816,1000,134.86713
-4.268159,200,134.943156
-15.389687,218,135.026165
111.430498,1000,135.422776
162.819084,834,136.465091
-6.703883,271,136.572606
109.048935,1000,136.965255
224.443371,390,137.121791
103.557635,1000,138.234774
-16.187236,240,138.329337
120.31379,1000,139.441057
137.23262,1000,139.843244
133.623322,1000,140.949883
-49.417516,498,141.142936
134.895228,1000,141.537924
131.114256,1000,142.645967
125.03416,1000,143.031222
-4.286854,187,143.106732
188.752427,426,143.985814
12.640546,179,144.057337
111.577807,1000,144.450907
111.635605,1000,145.566922
134.167451,1000,145.9635
-12.948409,172,146.032015
-23.466971,606,146.266557
14.392392,173,147.058733
-2.524272,290,147.168337
-59.633399,460,147.354351
142.554765,1000,147.750447
-16.408478,162,148.517175
165.417639,571,148.741749
88.632965,1000,149.149432
99.254763,1000,150.265599
-19.004512,194,150.342112
153.482852,594,150.585073
107.026715,1000,151.68653
-21.469013,244,151.78355
213.588605,316,151.907569
103.740361,1000,152.303222
113.011225,1000,153.4145
-29.485702,231,153.504011
92.107181,1000,153.894099
20.380382,311,154.725365
87.155742,1000,155.107748
111.2901,1000,156.214929
106.149785,1000,156.611765
109.954775,1000,157.735634
117.696783,1000,158.136165
191.627812,453,158.312698
-17.43377,136,158.370317
101.384632,1000,159.504886
155.767217,418,159.667487
121.256834,1000,160.783041
11.092603,149,160.842543
153.127193,1000,161.236101
-0.598494,194,161.311603
-20.534802,399,161.475146
94.62623,1000,162.590624
-29.963103,162,162.655145
29.05814,399,162.805808
-20.891814,245,162.900233
139.169323,1000,164.023431
4.712009,261,164.123931
150.313698,1000,164.5189
130.530835,1000,165.628862
-54.256052,206,165.714371
143.569657,1000,166.118443
90.068132,1000,167.226067
106.205098,1000,167.620637
108.460863,1000,168.74834
8.195763,208,168.825855
14.304863,165,168.891012
130.430763,1000,170.006716
128.651318,1000,170.410281
23.386838,172,170.475316
143.468168,1000,171.599118
219.228264,272,171.706144
102.120805,1000,172.107623
119.409182,1000,173.214354
121.721678,1000,173.628927
106.76003,1000,174.741178
14.696223,295,174.854682
114.454638,1000,175.251791
143.338737,1000,176.360959
128.161661,1000,176.764037
146.252233,1000,177.87172
130.758126,1000,178.296347
127.241721,1000,179.498619
218.505773,680,179.773672
122.122095,1000,180.896045
198.19634,299,181.012083
24.194084,182,181.083622
6.144362,294,181.198735
91.197026,1000,182.318646
212.213963,242,182.416171
120.823048,1000,182.810244
145.883177,1000,183.94267
206.158505,327,184.075671
106.345576,1000,184.484854
138.890885,1000,185.584173
95.001334,1000,185.982813
136.589626,1000,187.098945
134.0517,1000,187.498046
124.847445,1000,188.618339
121.197617,1000,189.018898
188.408201,499,189.21243
26.119939,163,189.275496
131.112349,1000,190.392042
126.573019,1000,190.789707
-33.320938,238,191.607973
164.033011,1000,192.006533
136.509576,1000,193.118288
-11.342798,129,193.171815
145.380053,1000,193.572884
136.4589,1000,194.691688
213.803109,305,194.814206
141.349253,1000,195.213739
153.034325,1000,196.311688
-29.012133,161,196.374713
-29.720921,223,196.457716
105.247363,1000,196.862725
215.8669,222,197.660213
26.366756,164,197.727303
146.58777,1000,198.119861
151.068145,1000,199.223384
88.335063,1000,199.628088
130.482607,1000,200.733567
194.041567,303,200.856083
-31.914255,267,200.959598
86.396626,1000,201.356631
-54.800354,196,201.436151
-77.945661,266,202.24138
149.918033,1000,202.633493
103.403705,1000,203.751667
133.738357,1000,204.146211
10.92846,181,204.21372
153.783205,1000,205.321555
220.759727,534,205.558807
-38.110798,212,205.642311
106.393039,1000,206.037691
206.636389,328,206.867283
183.015634,261,206.972818
11.285418,214,207.05482
100.689273,1000,207.451392
111.151727,1000,208.551931
141.593591,1000,208.95093
-25.737465,232,209.036435
-4.507974,1000,210.142088
91.375814,1000,210.537073
139.89014,1000,211.650097
130.02824,1000,212.048362
134.528329,1000,213.193078
145.332437,1000,213.620464
-17.430742,257,213.725986
-57.175976,197,214.815594
152.372892,1000,215.491884
116.708687,1000,217.284577
152.449968,829,217.96656
-40.294714,358,218.193362
197.886497,276,218.344408
106.35083,1000,220.545738
-58.036375,202,220.708543
113.652735,1000,221.500619
202.768434,693,223.170586
152.513138,1000,223.831807
35.517953,245,223.991338
86.426919,1000,225.992905
149.888353,743,226.337046
5.761503,187,226.437737
116.380996,1000,228.20069
210.619929,516,228.586367
100.814964,1000,229.293682
195.599987,261,230.528274
-57.259519,196,230.626388
68.407695,1000,231.347191
-4.57299,167,231.437792
126.795708,1000,233.359409
199.918978,223,233.584481
-58.618302,321,233.807151
-10.724146,396,234.252755
