#{"t_start": 1779809485.957617, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-354.933654,149,0.13851
-355.354615,79,0.205158
-334.842231,101,0.297797
-103.615928,121,0.398025
-29.681636,133,0.497288
-308.589164,117,0.573184
-469.873685,165,0.751743
-128.793112,118,0.86804
-490.795789,166,0.9896
-77.898687,71,1.037435
-472.012104,134,1.148586
-475.631516,123,1.294163
-214.734563,88,1.369906
-429.871298,87,1.437785
-111.870087,108,1.532115
-136.390302,166,1.661427
-344.123299,105,1.731344
-218.963014,101,3.158729
-167.303239,99,3.236894
-313.438142,126,3.341918
-353.806096,115,3.439979
-47.582957,67,3.506951
-314.21117,82,3.579606
-309.311617,114,3.664404
-111.935303,98,3.752586
-392.188046,216,3.952713
-271.530059,151,4.097198
-350.317262,145,4.225501
-476.007669,151,4.356219
-282.142626,120,4.449473
-71.954828,77,4.520379
-529.028041,99,4.636445
-166.669014,145,4.748694
-175.195478,128,4.837352
-328.816861,129,6.528638
-417.649388,94,6.62256
-342.642951,105,6.779018
-442.152328,117,7.082057
-338.495344,113,7.266333
-119.78557,112,7.381267
-114.958189,151,7.510298
-136.656912,112,7.690186
-98.875544,111,7.788884
-305.03646,110,7.861637
-210.33843,92,7.922591
-213.348015,81,7.971798
-64.213457,77,8.019905
-89.675607,135,8.109893
-297.401107,87,8.164851
-422.72569,120,8.278326
-229.937971,115,8.395023
-106.488548,83,8.445256
-145.593938,139,9.997235
-283.241768,148,10.133193
-53.869627,69,10.176101
-185.020228,99,10.252882
-450.185224,91,10.3369
-412.170918,78,10.389166
-145.121248,93,10.444407
-127.319983,164,10.551528
-341.1373,113,10.634836
-307.545266,103,10.70016
-113.636598,122,10.789575
-79.070635,84,10.851028
-127.831288,109,10.938089
-158.295183,110,11.03398
-62.661055,141,11.140257
-117.607881,98,11.220824
-212.473118,101,11.30977
-169.616916,97,11.392153
-254.526695,159,11.525259
-148.865084,103,12.845232
-120.80377,103,12.913016
-265.556753,80,12.96513
-304.66693,113,13.064773
-67.684303,141,13.184446
-78.241774,151,13.346938
-155.626175,103,13.425989
-112.360776,128,13.550502
-203.268287,89,13.652845
-101.055374,158,13.75762
-59.120719,175,13.917135
-80.419797,122,14.031749
-266.469039,88,14.112168
-343.457908,120,14.202916
-149.301267,103,14.283161
-124.950177,123,14.379932
-77.577323,117,14.5085
-136.962401,77,14.560903
-169.269633,145,16.174372
-71.265617,126,16.279265
-52.538974,106,16.387798
-246.346494,137,16.515877
-67.45199,74,16.562306
-75.776591,104,16.630075
-108.643887,121,16.704957
-395.968477,124,16.782358
-142.446569,145,16.896606
-28.216243,80,16.973322
-55.131934,127,17.08788
-25.27056,115,17.17866
-213.727643,109,17.263942
-104.887185,68,17.330026
-140.672648,163,17.470282
-90.274929,110,17.541988
-281.402878,128,17.656526
-146.483172,138,19.039019
-18.928207,118,19.107181
-54.864588,108,19.174685
-47.625883,82,19.232018
-100.4694,117,19.303972
-56.289725,124,19.376565
-75.07105,94,19.433908
-130.756437,121,19.524099
16.033192,129,19.62717
-131.660335,110,19.693998
-0.873915,116,19.766783
-71.761738,157,19.869025
-175.741059,110,19.934639
-53.939721,75,19.98542
-37.479511,95,20.044828
-231.216733,113,20.120852
-86.759725,111,20.183897
-197.75827,138,20.264914
-65.581254,94,25.026212
-254.224261,137,25.471392
-243.529873,110,25.916806
-214.129601,66,26.16895
-201.100478,99,26.504934
-136.094116,136,26.997821
-51.963822,140,27.542839
-170.06142,156,28.125269
-232.315981,171,28.741131
-73.758712,153,29.324855
-524.813057,130,29.723042
-92.019202,92,30.019815
-351.220075,159,30.549145
-227.784895,120,30.934661
-59.420383,147,31.427663
-86.820329,135,31.893123
-74.827834,124,38.083627
-74.802503,89,38.350443
-33.400858,112,38.71979
-128.415438,134,39.176896
-32.787767,87,39.465228
-99.04374,117,39.84503
-93.78496,102,40.182794
-75.917656,75,40.421877
-66.554538,137,40.817147
-22.056198,127,41.227842
-170.633774,123,41.631645
-32.382943,140,42.096039
-93.957007,105,42.432965
-84.043001,162,42.926957
-179.016079,139,43.39296
-177.148775,134,43.83589
-204.123317,121,44.246425
-159.357766,153,50.276035
-32.212319,159,50.767085
-151.658295,96,51.070831
-26.142152,142,51.502764
-96.834399,97,51.788843
36.475945,117,52.120758
-375.511409,130,52.531182
-165.223026,148,52.986948
-96.101276,188,53.614992
-242.884387,141,54.048884
4.130162,107,54.400722
-218.609592,141,54.877941
-71.968528,113,55.234699
-74.147437,194,55.85726
-21.006891,85,56.11452
-86.150007,137,56.512235
-141.061375,137,62.694999
-48.847041,152,63.216113
-110.878282,143,63.700041
-11.273141,157,64.237027
-370.734045,186,64.872376
-31.941817,90,65.180277
24.458403,129,65.594311
-14.724972,116,65.962194
-75.388035,150,66.471355
-347.802623,215,67.161375
-212.153844,177,67.787935
-12.315389,135,68.278753
-303.962027,305,75.550784
-161.832779,85,75.844794
-31.508356,128,76.270896
-317.961144,135,76.730741
-291.177484,137,77.218507
-33.801695,129,77.651787
-43.853614,103,78.010688
-345.299489,159,78.581021
-65.044635,92,78.944412
-88.311069,123,79.378093
-299.067946,213,80.112898
-85.797404,117,80.524324
-106.838384,88,80.822087
26.992699,118,81.212479
-197.246035,203,82.401515
-189.052477,144,83.936169
-106.315778,121,90.347229
57.298159,120,90.744525
-132.928827,138,91.203679
-122.42619,120,91.597549
20.864771,129,92.041822
-42.282371,136,92.51437
-204.370189,144,93.025238
-45.636046,144,93.511704
35.657134,1000,96.893174
2.168539,130,103.057405
-144.636204,109,103.432704
-173.573921,183,104.065035
26.715391,173,104.647146
-257.036982,172,105.217213
5.565924,176,105.792406
14.286159,116,106.181978
1.066938,142,106.665341
-287.71632,405,108.027145
-27.247059,154,108.547499
-13.801881,183,109.141378
-119.417348,165,115.45001
-0.911984,201,116.144782
-36.366878,136,116.629117
-130.967125,216,117.37085
-112.458107,174,117.962398
-69.262752,1000,121.330244
-73.940124,179,121.960407
-235.992813,211,128.942496
-103.716476,166,129.505004
-52.011105,128,129.911551
-265.669295,118,130.309922
-197.322616,136,130.762878
-250.318029,354,131.957499
-250.563372,321,133.01664
-123.226759,168,133.559016
-126.40063,268,134.545132
-79.428577,185,135.229948
-140.036151,250,142.276993
5.769974,127,142.749382
24.042099,123,143.215235
-34.500166,216,144.026195
5.237163,1000,147.485903
9.45369,1000,157.01701
-11.516671,1000,160.483924
-68.799574,267,161.367297
-78.458865,198,162.029118
-297.122214,482,169.696824
-182.361024,776,172.347465
-177.817517,193,173.025098
-10.913841,156,173.556178
-217.375876,325,174.751124
-22.171777,225,184.441993
-12.85456,1000,188.038077
-67.297492,233,188.841148
-64.179977,214,189.621456
-46.281308,303,190.742149
100.275178,1000,196.907747
17.465355,1000,197.814064
30.985774,1000,199.885642
-24.315436,258,200.052572
-125.982934,236,200.19503
35.291848,1000,201.920789
11.628935,1000,202.606264
80.866579,1000,205.162127
-114.827314,180,205.265392
-59.900793,1000,207.475883
-117.36758,158,208.000967
-0.89074,340,208.98809
-155.443563,159,209.508631
-210.050373,213,215.694536
-81.772338,303,216.6674
2.157936,1000,219.7648
-202.495051,311,220.694687
-115.911478,181,221.252615
-178.429306,334,227.416956
-190.30238,525,229.010577
-172.327608,456,230.420864
-176.956428,444,231.819238
-0.881069,1000,240.101179
-128.364957,383,241.251839
-183.595996,273,242.068348
-143.954802,179,242.612886
-164.117376,512,244.142382
78.418353,1000,252.490932
-158.466094,344,253.534264
55.800967,1000,261.881028
-102.850692,311,262.789328
-167.706892,487,264.228081
-180.294946,400,265.403062
-122.681739,312,266.315832
-10.474608,1000,274.872525
59.01241,1000,278.672576
-111.913601,363,279.897122
92.630571,1000,288.22323
-131.816036,263,289.012527
33.490373,1000,296.785126
19.351131,1000,297.424234
120.898351,1000,305.230317
101.221833,1000,308.930106
-31.153242,536,310.790808
104.640548,1000,320.546106
67.405681,1000,324.091914
30.060218,1000,333.568137
78.37781,1000,337.151757
31.625497,1000,346.417171
31.415735,1000,349.836317
-6.701796,1000,359.478513
99.874967,1000,362.899303
-137.157089,1000,372.529866
-235.069994,939,375.772983
19.162403,1000,385.240881
52.607144,1000,388.721269
61.549472,1000,398.252604
1.145067,1000,402.692238
-64.323232,1000,412.061939
17.847059,1000,415.608827
32.763511,1000,425.626017
50.507459,1000,428.805199
5.019236,1000,438.037118
79.177922,1000,441.511011
58.714834,1000,451.466533
72.688815,1000,455.182837
24.871929,1000,464.579932
-86.653771,1000,468.10234
-96.124321,1000,471.514929
28.94218,1000,481.924298
-36.532287,1000,485.355002
76.380376,1000,490.212429
-90.067541,803,490.724857
6.940039,1000,492.437729
23.890936,1000,493.057522
156.375179,607,494.484963
-38.833576,1000,495.075822
10.519297,1000,496.712446
30.504039,1000,497.296311
52.889232,1000,499.089767
71.727483,1000,499.786009
-8.223402,1000,501.500924
-33.481436,460,501.768011
6.468627,1000,502.401534
52.951281,1000,504.152489
55.15,1000,504.779704
39.043045,1000,506.629095
72.549656,1000,507.29803
76.209136,1000,508.966272
-139.454731,361,509.17987
-67.92263,442,509.439733
58.907386,1000,511.175862
59.192387,1000,511.798028
100.732696,1000,513.42127
74.431864,1000,516.741902
62.035676,1000,525.056247
15.790054,1000,528.096863
-101.391154,665,530.075225
-129.491749,483,536.770343
75.220311,1000,539.817319
95.458908,932,547.880172
162.420351,689,549.935293
72.132851,1000,552.948514
179.027541,553,559.80994
94.053486,1000,562.892784
93.425407,1000,571.029454
-60.271327,258,571.797207
38.671738,1000,574.75278
146.08432,988,583.130366
-19.051297,402,584.341935
-97.910257,422,585.579436
140.488018,425,586.840294
126.271768,579,593.747491
-77.325027,379,594.881853
88.134665,1000,597.924279
83.973229,1000,606.000089
125.75267,651,607.914113
84.114498,1000,615.7808
73.616711,1000,618.731666
40.752526,1000,626.838272
91.184998,1000,629.851034
-54.748819,291,630.719043
142.247301,596,632.504938
78.479177,1000,640.67291
47.26955,1000,643.533445
-52.536724,365,649.827668
-90.275283,429,651.102882
151.061944,511,652.633109
75.628676,1000,660.804234
46.1219,1000,663.7483
75.74695,1000,672.390066
-113.289161,588,674.121994
106.435661,879,676.777926
-98.585186,569,683.717116
121.899097,668,685.70741
53.075383,1000,688.722584
147.263579,667,695.971125
9.146971,1000,699.344427
49.846065,1000,707.708382
-184.267497,929,710.496217
-56.8809,355,711.552122
62.412429,1000,719.847074
-70.398474,377,720.971041
-78.957373,509,722.465239
32.07479,1000,730.995279
-73.863966,393,732.144979
134.695175,524,733.820279
130.461729,762,741.348498
101.402524,1000,744.386247
56.044378,1000,747.406939
49.93339,1000,755.7393
135.671334,532,757.350381
139.048633,701,764.839755
121.972744,1000,767.873332
-66.754713,191,768.456918
-138.978207,390,769.623567
114.002487,563,776.644152
73.778999,1000,779.655151
137.331472,670,784.486542
39.620411,1000,792.800911
21.75814,1000,795.870048
123.557293,949,804.363041
-81.445073,513,805.880242
168.25306,448,807.190931
37.756173,1000,815.41443
-137.338907,507,816.945395
65.320629,1000,825.339236
70.504896,1000,828.334159
96.497406,1000,836.567541
-112.238105,430,837.857378
-0.397678,1000,840.824663
9.973501,1000,849.099524
137.10037,576,850.82079
41.584089,1000,859.032293
69.087621,1000,862.028993
93.475098,1000,865.000139
110.614988,1000,873.242374
143.557376,514,874.787811
-202.53881,611,881.973251
134.938629,510,883.481416
28.734212,1000,886.524585
-61.045098,441,887.837979
91.035148,1000,896.163073
91.578665,1000,899.412387
-108.979505,546,906.3496
72.793425,1000,909.291234
100.609398,1000,917.468171
159.989127,429,918.736027
114.13,930,921.551892
51.801303,1000,929.642032
159.03694,602,931.436059
-51.310498,231,932.136895
134.012149,809,939.733609
-67.125484,310,940.747566
88.812554,1000,943.729475
180.996583,837,951.372321
145.129228,418,952.607279
70.192583,1000,955.624364
-83.934899,308,961.808708
59.749342,1000,964.794992
85.145647,1000,972.990012
87.675416,1000,975.489412
-74.306637,230,975.655767
-60.47366,981,977.747816
-61.137422,288,977.959898
174.077834,502,978.303075
73.192953,1000,978.909451
-58.044749,357,980.165357
154.546616,474,980.444932
147.334095,475,980.746195
136.37965,789,981.220538
71.535571,1000,982.91144
-91.363482,426,983.175912
144.53885,693,984.651033
177.437085,556,984.982005
75.132319,1000,985.57849
-61.72967,350,985.784552
107.15437,1000,987.455211
85.997846,1000,988.104361
-137.948621,602,992.445849
118.512579,564,994.204251
122.286874,1000,997.260964
86.070819,1000,1005.903366
-82.873732,354,1006.99695
-87.391988,228,1007.690661
-117.262425,480,1009.096342
-123.379367,384,1015.526184
132.484766,1000,1018.55722
-68.504572,276,1019.352678
188.951409,414,1025.973043
51.924908,1000,1029.335385
-75.951645,258,1030.202314
-81.458754,178,1030.782879
-79.170262,394,1031.953301
110.356993,1000,1040.986384
68.911183,1000,1043.98976
-19.366888,318,1050.193075
128.247243,1000,1053.295072
111.867882,607,1055.198929
-117.455011,373,1056.242123
-55.780733,203,1062.060252
76.590857,1000,1064.304896
58.815699,1000,1072.483113
117.759032,474,1073.899266
-49.186338,294,1074.77043
-58.58716,174,1075.293104
-103.218855,455,1076.809205
77.077251,1000,1085.32646
-31.490568,426,1086.682947
-69.604924,307,1087.591747
-60.655395,218,1088.233501
-34.154736,215,1088.887014
-140.999791,482,1095.738043
-62.19285,171,1096.260543
176.208497,517,1097.812881
-50.07319,276,1098.640119
127.463962,1000,1106.96182
109.351487,1000,1109.990931
1.468299,303,1110.924788
118.47816,1000,1119.335058
87.850939,1000,1122.431995
122.913571,1000,1131.315144
-59.199147,256,1132.022761
73.451319,1000,1135.07035
86.660287,1000,1139.189262
96.021671,1000,1139.86482
85.022048,1000,1141.715055
-11.796978,287,1141.892538
109.01008,1000,1142.515876
119.836093,672,1143.931101
163.140495,605,1144.292017
82.494879,1000,1144.904127
70.633196,1000,1146.492169
168.935644,508,1146.797082
94.994147,1000,1148.416932
179.755635,375,1148.642013
-21.341633,1000,1149.231022
193.179878,341,1149.421014
72.023256,1000,1151.012088
105.797571,1000,1151.629788
133.799557,1000,1153.253267
178.379878,413,1153.495847
44.303099,1000,1155.147825
95.919106,1000,1155.761445
-28.776334,337,1155.958704
181.578164,391,1156.198815
89.921421,1000,1157.954442
-42.99462,522,1158.300443
171.132316,751,1159.798477
92.109538,1000,1160.385014
189.749039,367,1160.591794
77.339773,1000,1162.162447
201.070265,409,1162.398554
180.854227,343,1162.594956
205.506838,354,1162.797755
223.819092,335,1162.989194
-32.471279,281,1164.161638
-50.652911,257,1164.316604
108.860812,1000,1164.962728
166.73138,399,1165.19665
187.184693,388,1166.432284
76.212317,1000,1167.037811
151.929263,449,1167.299148
144.94335,464,1168.611868
93.485692,1000,1169.224196
38.592072,1000,1170.876611
123.578563,1000,1171.484426
106.598453,1000,1172.088819
143.185318,1000,1173.778751
179.820519,663,1174.180696
189.096058,593,1175.956874
183.823889,494,1176.364825
132.92878,1000,1177.244214
158.051358,595,1178.74865
108.860832,1000,1179.449535
213.755216,352,1179.71099
201.805755,360,1179.980927
188.7282,284,1181.181055
82.953172,1000,1181.771961
127.997195,1000,1183.382786
185.674484,369,1183.592339
139.344164,1000,1184.179496
212.882926,342,1184.378131
200.614496,557,1185.695015
210.009226,428,1185.952637
198.494812,314,1186.131426
182.76306,701,1186.535101
120.71319,1000,1188.334869
127.90614,1000,1188.942149
-32.672473,351,1190.167798
-0.934052,258,1190.322781
153.646782,837,1190.810634
210.54875,513,1191.107002
128.371386,1000,1192.668767
105.066956,1000,1193.310596
103.395454,1000,1195.087
150.796898,1000,1198.841333
117.632488,1000,1207.309108
139.700109,1000,1210.370059
102.591128,1000,1219.07207
195.156701,455,1221.255827
139.825296,1000,1224.855291
106.042059,1000,1232.823976
145.557144,1000,1235.228281
110.86273,1000,1237.087843
115.364552,1000,1237.726769
218.646166,453,1239.012965
123.262883,1000,1239.614887
104.703521,1000,1241.217883
121.015529,1000,1241.814487
143.339711,1000,1243.398947
209.262483,308,1243.572141
109.175172,1000,1244.152529
197.067113,347,1244.355842
