#{"t_start": 1779807924.2806773, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-630.679241,116,0.050558
-344.010193,171,0.113628
-271.069953,130,0.159278
-216.689189,116,0.200795
-345.582535,163,0.268365
-97.349552,145,0.326919
-213.329038,124,0.37395
-213.522397,125,0.423552
-373.422736,86,0.457566
-461.187884,164,0.522169
-431.109777,124,0.571212
-136.643153,89,0.603273
-253.100824,161,0.666376
-326.862538,133,0.719397
-98.84888,84,0.756422
-202.972454,183,1.529958
-189.0265,115,1.573256
-104.605619,82,1.603272
-387.14722,121,1.648811
-142.677827,157,1.707347
-320.564348,90,1.74188
-112.2727,147,1.799934
-300.466305,97,1.835459
-355.032939,91,1.869985
-101.977646,129,1.918638
-47.025209,134,1.971178
-324.044228,90,2.007702
-34.145591,137,2.059968
-72.151917,106,2.099495
-327.356533,102,2.137507
-192.778429,106,2.176034
-45.413932,112,2.215563
-117.577489,110,2.255102
-184.905632,145,3.219047
-154.357049,89,3.25407
-118.588053,83,3.287733
-384.631206,97,3.325881
-452.044104,150,3.380948
-355.013409,138,3.43453
-305.971032,165,3.497857
-288.321853,92,3.533856
2.572911,86,3.565492
-314.193107,107,3.607049
-191.907113,70,3.635065
-164.470261,101,3.673574
-191.506551,84,3.703463
-104.746229,98,3.740661
-303.812187,107,3.781291
-378.025533,108,3.822823
-111.315765,112,3.866338
-218.655033,124,3.91536
-230.051639,88,3.950883
-375.416322,86,4.69768
-96.722018,126,4.746566
-65.168805,89,4.782095
-109.831658,123,4.829141
-36.718344,141,4.883173
-434.83177,118,4.930202
-162.629668,164,5.002171
-237.050445,118,5.046693
-100.747053,139,5.097936
-32.049861,74,5.127473
-146.627098,113,5.171984
-79.175252,118,5.222036
-274.790769,98,5.262072
-263.702484,180,5.339245
-327.382349,108,5.383279
-148.239889,105,5.422798
-244.757549,91,5.459344
-62.991899,140,6.210465
-358.087088,127,6.261007
-386.567952,140,6.315027
-51.632887,94,6.352047
-72.430446,77,6.383559
-171.362316,171,6.447085
-34.844041,168,6.513478
-114.602523,191,6.585713
-21.049293,72,6.615228
-377.327334,122,6.661072
-374.936689,193,6.734115
-325.124989,82,6.767132
-77.591432,84,6.800159
-88.156016,80,6.831666
-445.732449,115,6.875812
-330.751028,140,6.931834
-74.663399,167,7.002765
-86.947381,71,7.747992
-543.801805,154,7.808523
-386.390842,94,7.842391
-367.683025,128,7.893412
-419.402814,147,7.947951
-132.750396,91,7.982965
-70.251908,100,8.019986
-235.851289,122,8.067222
-71.563244,92,8.106756
-93.96944,107,8.154627
-85.561109,83,8.187644
-514.247856,187,8.261211
-173.224249,120,8.306278
-287.561563,170,8.374079
-59.41196,93,8.411599
-334.951436,149,8.467625
-51.028282,191,9.255064
-318.71128,157,9.349335
-481.959527,126,9.400362
-252.311581,113,9.445902
-424.023042,138,9.498099
-555.91921,113,9.540624
-450.103398,161,9.600176
-299.135562,159,9.661443
-61.623961,71,9.688951
-219.053646,94,9.726973
-316.827811,91,9.761033
-457.033458,138,9.814569
-195.04124,147,9.869736
-63.259618,101,9.907263
-205.874267,83,9.937805
-244.256264,197,10.029438
-398.136033,108,10.07867
-349.605644,117,10.84223
-83.384851,88,10.876746
-229.110297,104,10.914897
-429.182898,125,10.963089
-108.67571,71,10.991131
-98.210753,69,11.018762
-103.661207,89,11.053285
-137.857766,156,11.110803
-234.935369,77,11.139809
-51.268232,95,11.176826
-286.51863,105,11.215846
-189.524726,101,11.253377
16.117857,1000,12.378865
30.971365,136,12.43039
-568.789775,170,12.495893
-159.956082,106,12.536924
-287.760141,132,12.585454
-316.919387,121,12.63098
-352.882267,115,12.677536
-50.900795,108,12.721556
-230.918172,92,12.757582
-514.455335,143,12.815112
-54.583055,97,12.852139
-59.729694,181,12.922666
-187.40751,127,12.978737
-332.070884,104,13.021767
-339.489519,124,13.072294
-292.418038,131,13.123863
-280.280485,115,13.901853
-275.662795,104,13.94286
-206.543207,96,13.978391
-189.979812,114,14.022405
-34.007659,99,14.057958
-180.137655,121,14.103998
-275.706777,159,14.166502
-93.076285,141,14.217524
-65.76815,81,14.248754
-354.642612,121,14.29653
-145.559778,62,14.32035
-92.714179,102,14.364237
-67.785614,134,14.418278
-152.30092,75,14.450991
-300.696274,118,14.497554
-120.060071,90,14.534317
0.63822,164,14.594846
-434.753543,123,14.637919
-83.076901,116,15.367905
-247.549544,177,15.437636
-276.653969,151,15.495471
-406.578786,131,15.543585
-108.691156,94,15.579746
-219.678656,135,15.631918
-181.921782,127,15.678951
15.534364,183,15.749481
-293.297981,156,15.810006
-43.953393,113,15.850768
-47.100379,80,15.880289
-158.226419,143,15.934813
-99.156568,130,15.985343
-192.17483,146,16.040823
-79.406351,87,16.074583
-286.802915,104,16.115108
-122.749345,166,16.887952
-156.733167,118,16.933636
-275.083239,142,16.987186
-25.999706,91,17.024706
-296.822736,148,17.082757
-34.469582,149,17.140818
-289.118003,153,17.202358
-226.372928,105,17.246382
-308.790403,107,17.28563
-283.764105,100,17.324734
-429.578604,165,17.38632
-50.806187,141,17.44285
-54.190413,160,17.505393
-291.676556,121,17.551964
-276.689993,191,17.620998
-107.02743,133,18.411314
-168.647694,116,18.460342
-128.252859,119,18.512152
-216.251992,187,18.586724
-124.130951,150,18.649627
-279.60198,151,18.714098
5.802269,111,18.762647
23.524597,86,18.798677
-75.976269,148,18.856903
-135.754283,139,18.911436
-25.120039,131,18.970996
-447.535242,175,19.050252
-21.484827,95,19.089777
-137.481931,128,19.141902
-149.420081,121,19.195474
-302.316833,136,19.972235
-171.874049,144,20.025351
-21.414263,186,20.099318
-73.544822,193,20.1726
-14.393828,104,20.214116
-70.848579,197,20.290631
-50.450382,138,20.344694
-79.992969,174,20.418737
-222.556714,117,20.467775
-2.23371,125,20.522818
-40.753431,177,20.600424
-145.212115,138,20.656554
-422.745921,182,20.737159
-29.247424,106,21.550119
-118.547765,182,21.619147
-40.579112,82,21.649659
-152.17497,132,21.701238
-63.213701,211,21.777148
75.485743,1000,22.172645
-41.286667,163,22.236671
-54.237822,184,22.304713
-11.897557,132,23.050239
-216.459831,191,23.120565
-45.403663,148,23.17597
-93.433122,108,23.218073
-77.725262,142,23.271598
-76.211481,148,23.329628
0.400694,110,23.370154
-71.553908,100,23.407184
-86.454442,163,23.470789
-53.008846,86,23.501301
-71.007839,71,23.528823
-20.079162,100,23.568365
-125.608686,78,23.601926
-86.362092,157,23.659453
-157.484997,93,23.694482
-166.976641,140,23.748017
-31.648398,102,23.786041
28.412965,137,24.538508
-67.417854,101,24.577029
-31.991185,149,24.632079
-27.144291,1000,25.03964
-61.529377,120,25.088229
-25.506187,113,25.131241
-88.494212,185,25.204781
-42.480142,108,25.246803
-87.871114,154,25.306325
-106.503003,83,26.055821
-87.862312,132,26.103836
-47.461476,213,26.186228
-19.358831,151,26.24527
-6.840387,139,26.330864
-15.373465,210,26.411902
28.232605,200,26.48694
-33.535566,178,26.557471
4.775407,89,26.594009
-209.67521,144,26.647131
-33.535742,181,26.721172
-52.810713,104,26.759979
-182.273224,214,26.843097
-31.420002,159,27.607594
-83.39438,110,27.650772
-115.846124,165,27.718385
-13.486253,112,27.760918
-11.823179,145,27.818027
-57.762118,150,27.874065
-8.034925,203,27.954597
-12.97086,178,28.028491
-13.224197,115,28.07206
1.369595,120,28.115667
-13.933966,163,28.178219
-36.886409,180,28.247242
-8.710126,181,28.316082
-30.947802,159,29.079853
-60.729366,152,29.138005
-29.670712,142,29.194078
-58.508686,190,29.264179
18.746361,129,29.313704
-16.110632,119,29.359738
-31.551079,167,29.423256
-53.867021,153,29.481308
-7.230989,128,29.52934
2.627189,144,29.58538
19.961868,162,29.648456
-37.720259,181,29.720513
-40.792875,167,29.783679
-35.761218,133,29.833624
-69.713117,165,30.619238
29.726535,145,30.674134
6.455279,221,30.759279
18.221617,183,30.829842
11.289349,157,30.890389
-29.13297,253,30.98608
13.531488,202,31.071625
18.930764,186,31.139668
-53.359987,196,31.21474
21.641202,157,31.273175
-95.79774,286,32.080088
-62.094109,154,32.136481
-46.244061,156,32.192518
-49.69536,207,32.270582
42.889897,1000,32.677014
-1.507327,139,32.729044
11.784669,1000,33.820246
42.505954,154,33.880287
-97.51134,215,33.965158
-7.556461,182,34.032205
-48.601477,222,34.115563
-39.410565,235,34.203218
99.322958,1000,35.298535
6.10664,1000,35.695452
14.067319,1000,36.782765
11.124806,162,36.842476
-39.88646,239,36.935533
-58.397628,286,37.046165
-144.265088,234,37.134719
-20.792938,193,37.203757
-15.487003,191,37.277851
-45.16671,214,38.054001
9.726958,210,38.134506
130.237572,1000,38.535209
-170.945541,248,38.631121
-154.189937,221,38.71378
-67.860846,252,38.805328
-182.583997,286,39.603263
24.319673,192,39.677337
16.693544,237,39.767377
163.408229,1000,40.16933
16.985633,180,40.239676
43.822266,158,40.299711
54.026965,270,41.093834
79.946297,1000,41.49968
-199.652596,389,41.651
-130.716882,358,41.789229
5.672916,234,42.566925
-73.028008,369,42.707012
-50.30374,135,42.760593
-144.259967,458,42.936512
94.751154,1000,44.034864
-57.917869,220,44.119079
-17.092898,294,44.230648
131.508266,1000,44.631954
-189.809152,516,45.543583
-48.227014,183,45.614616
90.168301,1000,46.020802
122.104869,1000,47.124879
114.067391,1000,47.529614
-26.415672,263,47.634737
-83.650754,161,47.69894
0.128293,210,47.779295
-42.244401,185,47.848098
67.727649,1000,48.960561
-102.826643,213,49.044117
-46.340343,171,49.108637
-42.884861,150,49.160658
-19.33648,148,49.218204
-11.23318,264,49.315252
-52.175578,182,50.081571
-96.262261,239,50.175602
-44.196594,178,50.245648
-41.46312,211,50.327623
-20.166168,1000,50.737937
53.558216,1000,51.838935
-23.735911,143,51.89352
-174.477085,332,52.024863
-44.59538,264,52.13143
-119.054543,254,52.229486
100.016593,1000,53.325992
83.45226,1000,53.73575
-51.089103,288,53.843057
-35.554077,168,53.905579
-132.063693,412,54.767484
-155.341535,353,54.899383
-165.353762,462,55.078275
-112.181506,413,55.233863
114.487395,1000,56.343244
-29.409824,152,56.403283
90.489432,1000,56.805873
75.999378,1000,57.906763
119.499486,1000,58.300894
152.836666,1000,59.394204
112.961701,1000,59.796191
129.584906,1000,60.90154
93.883623,1000,61.304376
149.321946,1000,62.400843
-152.444112,541,62.605953
146.452243,925,62.974599
54.78075,1000,64.074607
152.22514,1000,64.473603
133.364998,1000,65.580837
128.803408,1000,65.981826
-35.189721,204,66.760667
111.161028,1000,67.161685
126.387026,1000,67.557702
108.135163,1000,68.670169
82.456469,1000,69.061263
138.272909,1000,70.17369
81.817837,1000,70.568822
74.021116,1000,71.667887
101.158443,1000,72.055179
-9.652732,181,72.827789
124.95156,1000,73.227189
18.293611,143,73.28444
123.426294,1000,74.377374
211.389556,380,74.527402
212.688461,394,74.685495
-86.380488,393,74.841654
9.856703,179,74.915556
133.988332,1000,76.021757
-18.339927,1000,76.431637
132.535964,1000,77.53014
65.51589,1000,77.931041
113.941867,1000,79.028557
123.0471,1000,79.430857
133.518236,1000,80.561674
63.951836,1000,80.975439
10.297946,118,81.022518
105.168025,1000,82.196929
72.572155,1000,82.600227
235.146153,347,82.741764
153.272458,1000,83.961677
-25.435201,120,84.012733
6.9374,165,84.080314
-24.280831,235,84.173884
226.064684,453,84.380782
195.92091,529,85.436977
125.249251,1000,85.853401
64.157659,1000,86.9969
136.14091,1000,87.402045
40.073384,126,87.459606
98.088211,1000,88.619537
8.510437,222,88.708082
142.755582,1000,89.122233
120.064493,1000,90.266712
19.474234,217,90.356356
-14.491313,320,90.493465
141.184316,1000,90.893828
198.66567,528,91.843452
110.828848,1000,92.251034
84.758209,1000,93.392474
9.591078,202,93.472247
127.616763,1000,93.881469
47.072605,197,93.95451
19.855539,194,94.033073
-26.552272,281,94.875742
95.44294,1000,95.290212
-16.211898,254,95.389271
117.997395,1000,96.532825
-168.119578,562,96.767074
73.817688,1000,97.18073
154.198621,1000,98.291221
-27.054048,316,98.414786
93.748158,1000,99.559105
128.414283,1000,99.965463
139.211775,1000,101.088934
137.072805,1000,101.492007
-17.717448,169,101.560289
204.844999,438,101.730052
129.231401,1000,102.842582
157.036719,1000,103.246104
115.892088,1000,104.351381
157.900498,1000,104.75501
14.713037,152,104.811827
-19.573298,143,104.871933
-68.330838,476,105.762674
134.263908,1000,106.158865
-12.321785,208,106.240949
224.073652,445,106.415686
90.786353,1000,107.530216
-19.877305,178,107.601757
88.809136,1000,107.999457
181.517406,320,108.951192
-10.666992,132,109.052959
87.945828,1000,109.518517
68.842339,1000,110.62749
